net,length_um
_099_,90.66
_050_,89.82
_055_,89.62
_051_,89.25
_072_,81.985
_059_,75.08
clknet_1_1__leaf_clk,65.28
net2,59.46
net1,56.32
_056_,52.7
net3,52.02
cnt1\[2\],49.88
_060_,49.61
clknet_1_0__leaf_clk,49.24
cnt4\[0\],48.54
_071_,48.48
net6,45.31
_032_,43.46
cnt2\[1\],40.58
_065_,40.16
_035_,38.76
_073_,36.7
clk,35.09
cnt4\[1\],34.535
_054_,33.94
_063_,32.4
_048_,32.18
cnt4\[2\],31.2
_095_,30.1
cnt1\[3\],29.88
_062_,28.88
_034_,28.72
cnt1\[5\],28.66
clknet_0_clk,27.86
_092_,26.84
_052_,24.82
_096_,24.66
_093_,24.3
cnt2\[0\],24.08
_005_,23.765
_037_,22.92
_049_,22.66
sel[0],22.45
_074_,22.32
net5,21.72
_058_,21.46
_061_,20.76
_097_,20.76
_016_,20.23
_077_,20.16
_090_,19.45
_042_,19.32
cnt1\[4\],18.92
cnt1\[0\],18.45
cnt4\[3\],17.86
_036_,17.48
reset,17.19
net7,16.38
_026_,15.82
_064_,15.5
_017_,15.44
cnt3\[0\],14.8
_053_,14.5
_087_,14.46
cnt1\[1\],13.52
_089_,13.08
cnt3\[2\],12.92
_057_,12.48
sel[1],12.4
_085_,12.38
_091_,11.58
clkout,11.48
_024_,11.42
_003_,11.225
net17,11.16
cnt3\[1\],11.06
_084_,10.74
_067_,10.7
_076_,10.68
_102_,10.08
_039_,9.76
_040_,9.5
_018_,9.42
_068_,9.4
net4,9.4
_046_,8.9
_010_,8.485
_006_,8.285
_066_,8.1
_081_,8.1
_001_,8.065
_022_,8.02
_047_,7.94
_020_,7.58
net15,7.56
net20,7.22
_044_,7.18
net16,7.17
_069_,7.1
_028_,7.08
_086_,7.03
_088_,6.96
_029_,6.94
net9,6.64
net14,6.6
_100_,6.32
_038_,6.2
net21,6.18
_043_,6.02
_045_,6.02
_075_,5.84
_000_,5.805
_098_,5.8
_009_,5.765
_080_,5.72
_070_,5.28
_082_,5.26
_083_,4.92
_002_,4.895
_004_,4.725
_025_,4.54
_078_,4
_013_,3.925
_031_,3.42
_012_,3.405
_101_,3.1
_023_,3.08
net24,2.96
_011_,2.935
_079_,2.885
_019_,2.62
_008_,2.585
_007_,2.545
_014_,2.545
_027_,2.52
_021_,2.4
_094_,2.18
_041_,2.16
net22,2.16
_015_,2.085
_033_,2.04
net23,1.15
_030_,0.92
net13,0.46
